ID,Title,Start,End,Commentaire,BackgroundColor
C_10627_43_4_473,COMM (Bruyndonckx),2025-05-28T10:40:00,2025-05-28T12:15:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10628_43_5_474,GEFA (Bruyndonckx),2025-05-28T13:10:00,2025-05-28T16:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10630_5_6_475,BDON (Girardet),2025-06-02T08:00:00,2025-06-02T09:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10631_5_6_476,MDLD (Girardet),2025-06-02T09:50:00,2025-06-02T11:25:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_20103_66_6_477,WEBA (Le Franc),2025-06-03T08:00:00,2025-06-03T09:35:00,"Groupe : SIG1, Module : SI101 - INGL1 - Ingénierie logicielle 1","rgb(75, 108, 166)"
C_10635_66_4_478,MATH (Le Franc),2025-06-03T09:50:00,2025-06-03T11:25:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10638_142_7_479,PRSE (Gerber),2025-06-03T13:10:00,2025-06-03T16:35:00,"Groupe : SIG1, Module : SI120 - INGP - Ingénierie Plateformes<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10634_66_5_480,TKDE (Le Franc),2025-06-04T08:00:00,2025-06-04T10:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10640_43_4_481,COMM (Bruyndonckx),2025-06-04T10:40:00,2025-06-04T12:15:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10641_43_5_482,GEFA (Bruyndonckx),2025-06-04T13:10:00,2025-06-04T16:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10636_158_5_483,DROA (Barbafieri),2025-06-05T08:00:00,2025-06-05T09:35:00,"Groupe : SIG1, Module : SI111 - OGEN - Outils pour la gestion d""entreprise<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10639_66_4_484,MATH (Le Franc),2025-06-05T09:50:00,2025-06-05T11:25:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
C_10644_66_4_485,REMA (Le Franc),2025-06-05T11:30:00,2025-06-05T12:15:00,"Groupe : SIG1, Module : SI131 - BRIT2 - Branches instrumentales 2<br/><u>Commentaires :</u><br/>Importation horaires du 19-06-2024","rgb(75, 108, 166)"
